ru,lez
Какой удивительный мир!,Гьихьтин тажуб дуьнья
"Том не знал, что это случится.","Томаз чизвачир, и кар жедайди ."
"Только Том видел, как Мэри прокралась в комнату.",Томдиз акунати как Мэри чунюхан кезади
"На ребёнке не было пальто, хотя было очень холодно.",Гьава гзаф мекьи тирт1ани аялдал пальто алачир.
Когда-нибудь ты прославишься.,Са мус ят1ани вун машгьур жеда
Она вернулась из Китая.,Ам Китайдай хтана.
Том на неё смотрит.,Том адаз килигза
Когда-нибудь вы скажете мне спасибо.,Са мус ятӀани куьне заз сагърай лугьуда.
"По-моему, Том знает.",За чиз Томаз чизва
"Я думаю, они вас знают.",Заз чиз адаз куьн чизва
"Том сказал, что не хочет ехать.",Тома физ кӀанзвач лагьана
Не беги так быстро!,Катмир ик|а фад
Том мог быть опасен.,Том мумкин тир хаталу хьун.
Он аутист.,Ам аутист я.
Я ем много риса.,За пара дуьгуь незва.
Сегодня не может быть дождя.,Къе марф хьун мумкин туш.
Я вчера слышал очень красивую песню.,Заз накь пара иер мани ван атанайтир.
"Том с Мэри знают, где вы живёте?",Томазни Мэридиз куьн гьина яшамиш жезватIа чизвайди яни?
"Я спросила Тома, почему он это сделал.","За жузуна Томава, ада вучиз акl авунатlа"
Зачем им моё разрешение?,Абуруз зи ихтияр вучиз герекзава?
Том уже уехал из Австралии.,Том Австралиядай хъфенани?
Тебе рано этим заниматься.,Ваз фад я а кар ийиз
Он попытался утешить её.,Ада ам секинриз алахъна
Я узнал Тома.,Заз Том чир хьанай
Я хочу быть честным человеком.,Заз намуслу инсан жез к1анзава.
Я должен найти Тома.,За Том жагъурна кlанзава
Я очень зол на Тома.,Заз Томакай гзаф хъел ава
"Том говорит, что у него нет врагов.",Тома вичиз душманар авач лугьузва
Это золото?,Ам къизил яни?
"Том робкий, а Мэри — нет.","Том руьгъуьвал квайди я, а Мэри - ваъ"
Том никого тут не знает.,Томаз ина са касни чизвач.
"Я уже обещал Тому, что помогу ему.",За гила Томаз куьмек гуда лагьана гаф гана.
Сделаем небольшой перерыв.,Са геренда ял яда.
Ты не выглядишь очень уставшей.,Вун лап галат хьанвайди хьиз аквазвач
Сейчас тебе надо делать уроки.,Исятда вуна ви тарсар авуна к1анда
У меня не так много времени. Вы можете этим заняться?,Заз акьван гзаф вахт авач. Квевай и кар гъиле кьаз жедани?
"Она сказала, что подождёт.","Ада лагьана хьи, вил алаз акъвазда."
Том ещё не взрослый.,Том гьеле чӀехи яш авай кас туш.
Том укладывает сына спать.,Тома вичин гада ксурзава
У них слишком тяжёлый чемодан.,Абуриг гзаф  залан чамадан гва.
Те книги ваши.,А китабар вибур яни?
Том хочет встретить Машу.,Томаз Маша гьалтна кlанзава.
Они их убьют?,Гьабуру ибур рекьидани?
Завтракать будем в восемь часов.,Экуьнин фу сятдин муьжуьдаз неда.
"Мне надо было сказать Тому, почему я опоздал.","За Томаз лагьана кIанзавай, зун вучиз геж хьанватIа."
Том поблагодарил Мэри за совет.,Тома Меридиз сагърай лагьана мислятдин патай
Где они живут?,Абур фина яшамиш жезва?
Том подарил мне книгу.,Вуна заз ктаб багъиш авуна
Я подчинюсь.,За яб гуда
Сами здесь из-за компьютера.,Чун чеб ина компьютер патал ава
Я же сказал вам не разговаривать с ним.,"Гьадахъ галаз рахамир, лагьаначирни за квез."
"Боюсь, он болен.","Заз кич1е я, ам начагъ я."
Ты до сих пор там работаешь?,Вуна гилани гьана кьвалахзавани?
Мне надо тебе кое-что сказать.,Заз ваз са затI лугьуз кIанзава
Когда меня оперируют?,Зун мус операция ийида?
Я действительно очень хочу им помочь.,Заз дуьздаказ абуруз куьмек гуз лап к1анзава
Чтение его утомило.,К1елуни ам бизар авуна
Том проснулся к концу фильма.,Том фильмдин эхирдай ахварай аватна
"Музыка — это язык, который понимают все люди.","Мани - чlал я, вири инсанар гъавурда кьазвай."
Том хочет спать?,Томаз ксуз кьанзавани?
"Как называется та улица, по которой проходит трамвай?",Трамвай физвай куьчедин тIвар вуч я?
Ты умеешь плавать?,Вагай сирнав ийиз жезван?
Я не спал.,Зун ксанвачир.
"Том сказал мне, что может её починить.","Тома лагьана заз,гьам хъийиз жеда."
Он так счастлив.,Ама бахтлу я
"Иди с Томом, пожалуйста.",Вач Тома галаз
Я познакомился с ним три месяца назад.,"Зун адахгалаз таниш хана, пуд вацра вилик"
Том ужасен.,Том зегьле ракъурдайди я.
Что вы собирались делать?,Квез вуч ийиз кӀанзава?
"Я никому не сказал, что ты здесь.","За садазни лагьанвач, вун ина авайди"
Том и Мэри постепенно начали проводить больше времени вместе.,Томани Мериди яваш-яваш вахт санал акъудиз башламишна
Ты ведь хочешь быть богатым?,Ваз девлетлу жез к1анзава кьван?
Она хочет моей помощи.,Адаз зи куьмек к|анзава
"Ты знаешь, сколько лет было Моцарту, когда он умер?",Ваз чизвани гьи яшда аваз Моцарт кечмиш хьанатiа ?
Это книга.,Им ктаб я.
Мы подберём Тома по пути.,Чна Том рекье къахчуда.
"Где есть воля, там есть путь.","Гьина аватӏа азадвал, гьана ава рехъ."
Критика приветствуется.,Ч|уру крар артухарза
Том глубоко дышал.,Тома дегьринда нефес къачузай
Тома нет. Он уже домой пошёл.,Том авач. Ам гила кIвализ хъфена
"Не знаю, как мне вас благодарить.",Квез гьикl сагърай лугьудатlани чизвач заз
"Как ты думаешь, что он имел в виду?","Вуна гьикӀ фикирзава, адаз вуч лугьуз кӀанзавайди тир?"
"О чём он, чёрт возьми, думал?",Ада квекай фикирзавай
Ты научился водить машину?,Ваз чир хьанан гьализ машин
Они наверху.,Абур кьилел ала.
"Они двоюродные братья, если я правильно помню.","Абур имидин хваяр я, зи рикӀел алатӀа дуьз."
Том живёт рядом с железнодорожной станцией.,Том ракьун рекьериз мукьвал яшамиш жезва.
"Том дал нам еды, а также денег.","Тома чаз тlуьн гана,пулни"
Кто на меня смотрит?,Заз килигзавайди вуж я
Мой дед был героем.,Зи ч1ехи буба игит тир.
"Я и правда думала, что нравлюсь Тому.",За рикӀивай фикирзай зун Томаз бегенмиш я лагьана
"Пожалуйста, открой мне дверь.",Чан заз рак ачух
Бабушкам и дедушкам этих детей по девяносто лет.,Бубайрин дидейрин абадвал аялар 90 йис
Я люблю смотреть телевизор.,Заз телевизордиз килигиз пара кIанда.
Вы в серёжках?,Япагьанар галайди вун яни?
"Думаю, ты должна спросить её.","Зи фикирдал,вуна адавай жузун герек я"
Я сегодня получил ещё одно сообщение от Тома.,Заз къе мад са хабар атана Томалай.
Посетим мечеть.,МискӀидиз вач
Это не так важно.,Им акьван герек туш
Том открыл окно.,Тома дакӀар ахъайна.
Вы всё ещё нервничаете?,Ваз гилани хъел амани?
Слушайся себя.,Жувахъ яб акал.
"То, что произошло, было чудовищной ошибкой.",И хьайи кар  гзаф чlехи гъалат тир
"Нет, Том, не делай этого.","Ваъ, Том, ийимир."
"Она говорит, что хочет изучать французский.","Ада лугьузва хьи, кӀанзава француз чӀал чириз."
Том - художник и фотограф.,"Том  шикилар ягъдай ,шикилар чlугвадай устlар я."
"Я не знал, что Том один.",Том тек тир чӀал заз чизвачир.
Тома так и не поймали.,Том кьаз хьанач.
Можно попросить Вас это записать?,Квевай им кхьин тlалабайтlа жедани?
"Нет, папа!","Ваъ, буба"
Он поднял её в воздух.,Ада ам цавуз хкажна
"Скажите ему, чтобы он нам помог.","Лагь адаз, заз куьмекрай"
Том поднял монетку.,Тома кепек хкажнва
Смуглое лицо Тома выглядело измученным.,Томан къумрал чин кут1ам аквазва
"Может, Том занят.",Том гъиле кӏвалах авайди хьтинди я
"Я хотел бы, чтобы он остался с нами.",Заз ам чах галаз амукьнайтӏа кӏандай
Никто этого не видел.,Садазни ам акунач.
Где он взял столько денег?,Ада икьван пул гьинай къачуна?
У него аллергия на кошек.,Адаз кацерин аллергия ава.
Гнев старика остыл.,Къужадик квай хъел хкатна.
Я хочу пойти с тобой в цирк.,Заз вахъ галаз циркиниз физ кӏанзава
"Если встретишь медведя, притворись мёртвым.","Эгер сев акуртӀа, жув кьейиди хьиз къалура."
Что ещё вы нашли?,Квез мад вуч жагъана?
Это нам очень помогло.,Чаз гзаф адакай куьмек хьанва
Для моего сердца это вредно.,Зин рик|из ам агъдабан я.
"Мне кажется, чего-то в моей жизни не хватает.",Зи уьмуьрда са вуч ятlани агакьзавачирхьиз жезава заз
Фома был убит молнией.,Фома цIайлапанда ягъна кьена
Том вошёл в комнату.,Том к1вализ гьахьна
Я могу высказаться?,Заз рахадай ихтияр авани?
Я никогда тебя не покину.,За вун садрани гадардач
Я не видел Тома чуть более трёх лет.,Заз Том такуна пуд йисалай алатна.
Том больше сюда не придёт.,Том мади иниз къведач
У кого вы взяли интервью?,Куьне жузунар нивай къачуна?
"Том сказал, что почти сдался.","Тома лагьана, вичи михьиз рей гана."
Скажи пароль.,Пароль лагь.
Давайте спросим у кого-нибудь.,Ша хабар кьан садагай
"Бесплатный значит, что за него не надо платить.","Гьаваянди лагьай гаф я хьин, гьадахъ пул гун герек туш."
Том начал снова засыпать.,Том гат!уна мад ахварал физ
Оставь ключ.,Куьлег тур.
"Я думал, ты узнал меня.",За фикирнвай ваз зун чир хьанвайтlа
"Позовите меня, если найдёте его.","Ам жагъайтӀа, заз эвера."
Ты мой папа.,Вун зин буба я
"Я думала, ты закончил.","За фикирзавайди тир хьи, вуна куьтягьна."
Я не хотел помогать Тому.,Заз к!анзачир куьмек гуз Томаз
Я вчера с Томом познакомился.,Зун накь Томахъ галаз таниш хьана.
"Она сказала мне, что сейчас вернётся.","Ада заз, исятда хкведа, лагьана."
Мы оба можем пойти.,Чагай кьведагани фейитIа жезва
Я не хочу быть с вами в одной команде.,Заз квехъ галаз са кlвале акъвазиз кlанзавач
"Пожалуйста, будь здесь.",Ваз минетгьуй инал юхь.
"Вы думали, я об этом забыл?","Куьне фикирзавайди тир хьи, им зи рикӀелай алатнан?"
Том довольно быстро ходит.,Том бегьем фад къекъвезвайди я.
Я – ваш.,Зун - куьдуь.
"Она сказала мне, что вернётся.",Ада заз вич хкъведа лагьана
Том пригласил меня на танец.,Тома заз кьил ийиз эверна.
"Я не так хорошо играю в теннис, как Том.",Зун Том хьиз хъсан теннис къугъвазвач
Какого цвета ботинки вы хотите купить?,Квез гьи рангурин кIвачин къапар къачуз кIанзава?
Точную дату я сообщу вам позже.,Дуьз вахт за квез геж луда
Том сделал телевизор потише.,тома телевизордин ван ювашарна
Вам просто надо адаптироваться.,Квез анжах вердиш жез герек я.
Я счастлива с Томом.,Зун Том галаз бахтлу я
"Думаю, Том не ездил в Бостон.","Зи фикирдалди, Том Бостондин фенавач"
Интернет - удивительная вещь.,Интернет-аламатдин затI я
Почему ты не помог мне сбежать?,Вучиз вуна заз катиз куьмек ганач ?
Оставь его здесь.,Тур ам ина.
Вы за мной.,Куьн захъ галаз
Она приняла эту новость спокойно.,Ада и хабар секиндиз кьабулна.
С чем вы хотите кофе?,Квехъ галаз чвез кофе кIанзава?
В нашем классе всегда происходит что-нибудь смешное.,Чин мектебдин кlвале гьамиша са хъуьруьн къведай кар жезвайди я
Эти деньги не мои.,И пулар зи туш.
Я пришёл заявить о преступлении.,Зун атанва лугьуз тахсиркарвилика
Это возможно?,Ам жедай квалах Ян?
"Я сообщу им, что вы здесь.",За абруз лугьуда куьн ина авад
Ты у меня в руках.,Вун зи гъилера ава.
Кого Вы встретили?,Гьибур акуна цёз ?
Колибри - самая маленькая птица в мире.,Колибри-дуьньяда виридалайни гъвечlи нуьк1 я
"Я не хотел, чтобы Том волновался.","Заз к|ан туш,Тома фикирар авуна"
"Я хочу, чтобы у вас всё получилось.",Квевай вири жедайвал хьана к1анда заз.
"Я хотел бы, чтобы вы меня с ней познакомили.",Заз вуна зун адахъ газар таниш авунатӀа кӀандай
"Я знаю, что Том опять это сделает.",Заз чизва Тома мад гьа кӀвалах авунвайди
Дождь продолжался пять дней.,Марф вад йикъан къене къвана.
"Я хочу, чтобы вы мне пообещали, что никогда этого не сделаете.","Заз куьне заз гаф гана к|анзва, а  кар садрани ийидач лагьана."
Здесь кто-нибудь может говорить по-французски?,Ина садавай кьванни француз чlалал рахаз жезвани?
"Том очень неприятный человек, да?","Том рикIиз такIан инсан я, яни?"
"Все знают, что Том делает.","Виридаз чизва, Тома вуч ийизватlа"
Ты говоришь на хинди?,Ваз хинди лугьудай чIал чизвани?
Мне нужна посуда.,Заз къапар герекзава
Наш офис находится в центре города.,Чи идара энехъдин юкьвал ала.
Алма-Ата - мой любимый город!,Алма-Ата - зи рик1 алай шегьер я!
"Скажите мне, чем я могу вам помочь.",Куьне заз лагь загай вуч куьмек жезватӀа
Я это уже знала.,Заз ам чизвай.
Она это заслужила.,Гьадаз им лайих я.
Я за это заплачу.,За идан пул гуда
Я не могу туда попасть.,Завай аниз физ жезвач
Я хотел бы жить в Исландии.,Заз Исландияда яшамиш жез кIандай
Почему Вы её ударили?,Вуна вучиз ам яна?
Тому ещё надо это сделать.,Тома им гьеле авун герек я.
Я собираюсь остаться ещё на несколько дней.,Са шумуд юкъуз зун акъваз хъийида.
Я рада видеть вас счастливыми.,Заз хвеши я куьн бахтлувал акваз.
"Я бежал изо всех сил, чтобы догнать Тома.",Зун жезмайкьван кӏевиз катна Томахъ агакьарун патал
Моя комната находится на четвёртом этаже.,Зи к|вал кьуд лагьай этажда ава
Он её послушался.,Ада гьадаз яб ганва
"Том сказал, что он канадец.",Тома вич канадви я лагьана.
"Я жалею, что сказал тебе.",За айифар чlугазва ваз лагьанвайди
"Я сказал Тому, чтобы он меня подождал.",За Томаз ам захъ вил алаз акъвазрай лагьанай
Я учу шведский.,За швед ч1ал чириз алакьзва
Я устал играть в игры.,Зун галат хьана къугъуран къугъваз
Чистые полотенца лежат в ящике комода.,Михьи дасмалар комоддин хиле ава.
Её мать на нас рассердилась.,Адан дидедиз чакай хъел атана
Почему он сердится?,Адаз хъел тlа ава?
В квартире есть также небольшой балкон.,К!вале са гъвеч!и балконни ава
"Мы знали, что Том там.","Чаз чизвай хьи, Том гьана ава."
Книга лежит на полке.,Улуб кьацIал ала.
Я учу польский.,за польский чlал чирзава
Я могу задать ей вопрос?,Загай адаз суал гайит1а жезвани?
Я грязный.,Зу кьац!айд я
Моему брату нравится собирать марки.,"И кино чӏехибурунди я, аялринди туш."
Я приму это к сведению.,Заз им кьиле хуьда
Я многому тебя научу.,Заз хейлин шеэр ваз чирда
Она спрашивала о Вас.,Ала Квекай жузазвайди тир.
Можете поговорить здесь.,Инал рахайтӀа жеда квевай
"Я точно не знаю, смогу ли вечером прийти.","Заз чизвач, къвез жедатӀа завай нянихъ"
Том дал мне несколько книг.,Тома заз са кьадар ктабар гана
Она готовится.,Ама гьазур жезва
Ты идёшь на концерт?,Вун концертдиз физван?
Том побежал за врачом.,Тома Духтурдин гуьгъуьниз чукурна
Ну и что?,Хьурайман? Гьадалди вуч лугьуз к1анза ваз?
Миллиард человек говорит на английском языке.,Миллиард кьван инсан рахазва английски ч|алал
Ты уже пообедала?,Вуна нисин фу т1уьрд яни?
Ты ему вообще не звонишь?,Вуна адаз садрани зенгер ийизвач.
Ты что это сама с собой разговариваешь?,Вун вахъ галаз рахазвайди яни?
"У тебя есть братья и сёстры? - ""Нет, я единственный ребёнок"".","Ваз вахар стхаяр авани?-«Ва,зун авайни авачир сад я»"
Я люблю глянцевую бумагу.,Заз ц1арц1ар гудай чар к1андади я
Том определённо не занят.,Томаз гьельбетда мажал ава.
Это гарпун.,Им чlехи еб галай жида я.
Я люблю сырую рыбу.,Заз ицӀи гъетрекай хуш къвезва.
Почему такое происходит?,Вучиз гьахьтин к|валахар жезва?
"Вы знаете, что она сказала?","Квез хабар авани , ада вуч лагьанат1а?"
У Тома очень мало друзей.,Томаз лап тIимил дустар ава
Пошли познакомимся с ним.,Ша таниш жеда адахъ галаз
У тебя красивые голубые глаза.,Ваз иер вили вилер ава
Стены очень тонкие.,Цлар лап кьелечl я
Ты опоздаешь на самолёт.,Вун самолетдиз геж жеда
Пол грязный.,Пол хъацанва
Он был подавлен силой её любви.,Ам адан кӏанивилин заланвили шупӏарнавай
Том ушёл тридцать минут назад.,"Том къадни ц1уд
 минут къулухъ хъфена."
Её врач посоветовал ей бросить курить.,Адан духтурди адаз пӏапӏрус гадарун насигьат гана
Он ударил по мячу.,Ада туп ягъана.
Мог бы мне сказать.,Заз лагьанайт|а желай
Он свёл мои усилия на нет.,Гьада зи зегьметар чlурна
"Ты сделал всё, что мог.",Вуна жедай вири авуна
Ваше желание исполнилось?,Куь мурад кьилиз акъатнан?
Потребление алкоголя растёт с каждым годом.,Гьерякь хун йис къвердавай пара жезва
Когда ты его ещё увидишь?,Ваз ам мад мус аквада?
Кто дал тебе деньги?,Ваз пул ни гана?
Он потерял деньги.,Ада пул квадарна.
А какая она?,Ам гьихьтинди я
Жан и Филипп посмотрят.,Жан ва Филипп килигда
Это на твоей совести.,Ам Ви намусдал ала
Я говорю по-французски только с Томом.,Зун тек са Томахъ галаз франгдалди рахазва.
"Подожди на улице, пожалуйста.","Ваз минет хьуй, куьчедихъ акъваз"
"Я хочу только, чтобы вы ушли.",Заз к1анзава са куьн хъфена.
У тебя есть мобильный телефон?,Ваз мобильный телефон авани?
Я сейчас не дома.,Зун исятда к1вала авач
Я почти ничего не знаю об этом.,Заз саки са шеъни чизвач идакай.
Она была нам нужна.,Ам чаз герек тира.
"Я из Токио, это в Японии.","Зун Токиодай я, им Японияда ава."
Мне тоже нравится это предложение.,И меслят зазни иер аквазва
Мне пришла в голову хорошая идея.,Зи кьилиз късан фикир атана
"Я никогда не прощу вам того, что вы сделали.","Куьне авур кlвалахдилай , за садрани гъил къачудач."
Том не был самым молодым.,Том виридалайни жегьилди тушир
Цветы — улыбка земли.,Цуьквер - дуьньядин хъвер я
Том тебя не понимает.,Том ви гъавурда кьазвач
Нас больше не одурачат.,Чаз мад  тапарар ийиз жедач
Не стреляйте в него.,Ам ягъмир
Что за вопрос!,Вуч суал я!
"Мэри говорит, что она не хочет есть.","Мэриди лугьузва, вичиз нез канзач"
Мне так плохо.,Заз акьван пис я.
Так я с ними и познакомился.,Зун абуркь галаз таниш хьана
"Ты мне никогда не говорил, что ты с ней знаком.","Вуна заз са чӀавузни лагьанвайди тушир хьи, вун ада галаз чирхчир я."
Ты их нашёл?,Ваз абур жагъанани?
Кто тебя обидит?,Вак ни ктяда?
"Возможно, мне следует поговорить с ней.","заз чиз, зу гьадахъ рахана к1анда"
Ты узнаёшь человека на этой фотографии?,Ваз и шкилдал алай кас чир хьанани?
Почему вы её всегда защищаете?,Куьне вучиз гьамиша гьадан пад кьаза?
Я еду в Австралию с Томом.,Зун физва Австралиядиз Томахъ галаз
"Том знает, что это значит.","Томаз чизва, им вуч лагьай гаф ятlа."
Как поживает твоя бабушка?,Куьн баде гьикl ава?
Моя жена покупает овощи в близлежащем супермаркете.,Зи пупа салан мейваяр къвалал алай туьквендай къачузва
Лошади едят траву.,Балк1анри векь незва.
"Не зная, что делать, он попросил у меня помощи.","Вуч ийидатlа чин тийиз, ада загай куьмек тlалабна."
Поможете нам?,Чаз куьмек гуз жедани?
Здесь где-нибудь поблизости есть Макдональдс?,Ина са гьина-ятlани къвалариг гван Макдоналдс?
У Тома нет друзей.,Томаз дустар авач
Какой замечательный сюрприз!,Гьикьван хъсан савкьват я
У меня живот до сих пор болит.,Зи руфун гилани тlазма
Том проживал в Бостоне.,Том Бостонда яшамишзавайди тир.
"Не думаю, что Том меня слышит.","Заз чиз , Томаз зи ван къвезавач"
"Думаю, Том нам соврал.",За фикирзавайвал Тома чаз тапарарнава.
"У Тома много денег, но нет друзей.","Томаз гзаф пул ава, дустар авач."
Как ты догадался?,Ваз гьик|чир хьана?
Какова вероятность выжить?,Чан аламукьун мумкин яни?
Мы его искали.,Чна ам жагъурзавай.
Обычно я езжу в школу на автобусе.,Адет яз зун мектебдиз автобусда аваз физва.
Кто его помнит?,Нин рикӀел ам алама?
"Он врач, как и его отец.",Ама вичин буба хьиз духтур я
Я провожу с ним много времени.,За адахъ галаз гизаф заман акъудзава
Когда начнется спектакль?,Спектакль мус гатlунзва?
Этот автомобиль принадлежит нам.,Им чи улакь я.
Я вернулся в Японию.,Зун Япониядиз хтана
Она наконец нашла пропавшие ключи.,Адаз квахьнавай куьлегар гьатна
Я позвоню тебе завтра в 7 утра.,За ваз зенг ийида пака сятдин иридаз экуьнин
Мой отец ненавидит летнюю жару.,Зи бубадиз гатун чимивал кIандач.
"Я не помню, когда это произошло.","Зи рик1ел амач ,мыс хьанат1а"
Папа купил мне велосипед.,Дахди заз велиспед къачуна
"Интересно, что сказал бы Том.","Яраб, Тома вуч лугьудайди тир?"
Какая головная боль!,Им вуч кьилин тlал!
Мы покрасили дверь в зелёный цвет.,Чна рекlиниз къацу шир яна.
"Если не поторопитесь, опоздаете на поезд.",куьне гьерекат тавуртIа квез геж жеда
Кто научил вас водить?,Ни чирна квез машин гьализ?
У нас не так много воды.,Чаз икьван гзаф яд авач
Том не очень хороший парень.,Том хъсан гада туш
Полиция расследует это.,Полицияди а кар чирда
Срок действия контракта заканчивается в следующем году.,Икьрардин вахт куьтягь жезва къведай йисуз.
Самолёт взлетел.,Самолетди лув гана
"Обещайте мне, что сделаете это.",Гаф це заз и кар ийида лагьана.
Я не хочу тебя целовать.,Заз кlанзавач ваз темен гуз
"Я не злопамятен, но всё помню.",За рик1ив кьадайди тушт1ани зи рик1ел алама.
Вы с Томом когда-нибудь работали вместе?,Вуна Томахъ галаз садра кьватIани кIвалахайди тирни?
"Нам надо сказать Тому, что Мэри не хочет, чтобы он приходил.","Чна лагьана к|анда Томаз,Меридиз к|ан тийизвайди ама  атана"
"Было холодно, так что я надел куртку.","Мекьизвай, гьавиляй за куртка алук1на"
Том помыл обе машины.,Тома кьве машини чухвена.
Не хочешь оставить её себе?,Жуваз ттаз кIанзавачни ам?
Ты какую предпочитаешь? Эту или ту?,Ваз гьим к1анзава? Им я им?
"Том выращивает помидоры, огурцы и салат.","Тома помидорар, арфунагарни салат правы"
Том сосчитал сдачу.,Тома гьисабна ганвай пулдин кумайди
Это тебя не касается.,Ваз герек авач
"Ни золото, ни могущество не делают нас счастливыми.",Я къизилрини я девлетри чакай бахтлубур ийидач
У меня синяя машина.,Зи машин вилиди я
Я не смогу им помочь.,Завай абуруз куьмек гуз жедач.
"Звони, если понадоблюсь.","Зун герек хьайитӀа, зенг ягъ."
Вы можете её взять.,Квевай ам къачуртIа жеда.
Ещё мгновение — и я исчезну.,Мад са декьикьадилай зун михьиз квахьда.
"Я не знал, что Том знает Мэри.",Заз Томаз Мэри чизвайдакай хабар авачир.
Я сказал Тому не встречаться с Мэри.,За лагьана Томаз Меридихъ галаз акваз алахъмир.
Сколько страниц в этой книге?,Шумуд чин ква и ктабдик?
Рыба прячется под камнями.,Балугъ къванерик чуьнуьх жезва
"Я сказал Тому, что мы дружим.","За адаз лагьан,чун таниш тир я"
Том часто плавает?,Тома мукьвал сирнавзава?
Вы не видели здесь сумку?,Квез ина сумка акунани
Тебе давно надо было мне об этом сказать.,Вуна има заз фаданлай лагьана канзавай
Я прибыл на станцию.,Зун станциядал атана
Ты закрыл окно?,Вуна дак1ар к1евнавани?
"Думаю, Том бы нам помог, если бы был здесь.","За фикирзава, Том ина авайтӀа, ада чаз куьмек гудай."
Я с тобой не закончил.,За вахъ галаз рахун куьтягьнач
Посмотри-ка.,Килиг кван
Ты не можешь этого сделать.,Вагай ам ийиз жедач
Том неплохо поёт.,Томан мани ягъун пис туш.
Том обо мне спрашивал?,Тома закай хабар кьазвайни?
Том и Мэри живут в одном доме.,Томни Мэри са кlвале яшамиш жезва
Этот старый хлеб чёрствый как камень.,"И эски фу, къван хьиз баят хьанва"
"Я думал, вы шутите.","За фикирзава,куьн хъурезвани"
"Я слышал, как Том смеялся.","Заз ван атанай, Том хъуьредайла."
Он считает его другом.,Ада ам кьили хьиз кьазва
Нам тоже тебя не хватало.,Чазни вун кими тир.
Они никогда тебя не поймут.,Абур гьич са ч|увузни вин агъавурда акьадач.
Я всё запомнил.,За рикӀел хвена вири.
Внезапно старик заговорил со мной.,Садлана кьуьзекди захъ галаз рахана.
Теперь решать тебе.,Гьил вуна гьял ая
Мне больше не надо носить очки.,Заз мад чешмегар алукӀин герек амач.
Ты узнал его?,Ваз чир хьанан ам?
Это была хорошая речь.,Им хъсан ихтилат тир.
"Что посеешь, то и пожнёшь.",Цайи тумуз килигай ше экъеч|да
"Том хочет, чтобы я ему помог.","Томаз, за адаз куьмекна кIанзава"
"Том сказал, что сделает.","Тома лагьана , вичи  ийида"
"У Тома достаточно времени, чтобы это сделать.",Томаз ац|ана вахт ава а кар ийиз
Взошло Солнце.,рагъ атана
"Как, ты думаешь, Том это сделает?","Вуна вуч фикирза, Тома ийидан гьа кар?"
"Я не жалею, что сказал нет.","За гьайифар ийизвач, ваъ лагьанайди"
"Мэри сказала мне, что верит Тому.",Мериди заз лагьана ам томан чӏалахъди я
Это не было шуткой.,Ам зарафат тушир
Я хотел бы поехать с тобой.,Заз вахъ галаз физ кӀанзавайди тир.
Ты должен воспользоваться погодой и покрасить забор.,Вуна и гьава ишлемишун авуна ва забор ч|егир авуна к|анда
Я его забираю.,За ам гахчузва
Терпение - мать наук.,сабур - тарсуни диде
Они обе из Бостона.,Гьабур кьведни Бостондай я.
"Я знаю, что Том - хороший студент.",Заз чизва Том хъсан студент тирди.
Они обе нам понадобятся.,Абур кьведни чаз герек жерваля
Он самый старший.,Ама верибрулай ч|ехиди я.
Это мы знаем.,Чаз ама чизва
Попугаи очень умные птицы.,Папугаяр гзаф акьуллу къушар я
"Скажи мне, куда мы едем.",Чун гьиниз физватӀа лагь заз
У Тома и Мэри есть лошадь.,Томазни Меридиз балкӀан ава
Том обещал позвонить Мэри.,Тома Мэридиз зенг ийид лагьана гаф гайиди тир.
Мы ценим честность.,Чна дугъри вилиз къимет гузва.
Том не очень хорошо готовит.,Тома пара аяр т|уьнар гьазурдавач.
Том ждал в машине.,Том улакьда вил алаз алай.
"Видите, что происходит?","Аквазвани, вуч хьанватIа?"
Ты можешь сделать салат?,Вавай салат ийиз жедан?
Почему ты мне вчера вечером не позвонил?,Вуна заз накь няниз вучиз зенг авунач?
"Хочешь, чтобы я ответил?",За жаваб гана к1анзани?
"Прости, что так опоздал.","Гъил къачу, зун геж хьана"
Наша одежда грязная.,Чи пекер кьац|анва.
"Знаешь, Том, ты очень изменился.","Том, вун гзаф дегиш хьанвайди чизвани ваз?"
Ей вообще не следовало целовать его.,Адаз герек тушир пах гуз
"Можно привести коня к воде, но нельзя заставить его пить.","Балк|ан цел тухвайт|ани,яд хъваз мажбур жедач."
Я ему завтра позвоню.,За адаз пака зенг ийида
"Это правда, что Том поехал в Бостон?","Дуьз гафар яни, Том Бостондиз фенва?"
"Нам понадобится твоя помощь, не так ли?","Чаз ви куьмек герек я, тушни?"
Том вернётся завтра.,Том пака хкведа
"Она говорит, что ничего не слышит.","Ада лугьуза, са куьнуьни ван къвезвач"
Даже чёрная курица несёт белые яйца.,ЧIулав вечрени кваз лацу какаяр хазва.
Я хотел увидеть тебя сегодня вечером.,Заз къе нянихъ вун акуна кlанзавай.
"Том сказал, что ты не такой.",Тома вун ахьтинди туш лагьана
Я купил Тому наручные часы.,За Томаз гъилин сят къачуна
Я намереваюсь сказать вам кое-что важное.,Заз квез са екеметлеб авай затl лагьуз кlанзавай
"Разуйтесь, прежде чем войти.","Кlвачел алайбур хтlуна, къениз гьахьталди."
"Никому не говори, что я это сделал.","Садазни лугьумир, ам за авунвайди"
Том слез с лошади.,Том балкIандилай эвичIна.
"Ты сегодня, случайно, не видел Тома?",Ваз къе Том гьалтначни?
Я вас убью.,За куьн рекьида
